"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 08월 26일","2,070","2,085","2,090","2,055","0.82K","-0.24%"
"2021년 08월 25일","2,075","2,035","2,075","2,010","338.09K","3.49%"
"2021년 08월 24일","2,005","1,965","2,030","1,965","215.13K","2.82%"
"2021년 08월 23일","1,950","1,880","1,970","1,880","407.84K","4.28%"
"2021년 08월 22일","1,870","1,870","1,870","1,870","-","0.00%"
"2021년 08월 20일","1,870","1,980","2,005","1,860","661.60K","-5.79%"
"2021년 08월 19일","1,985","2,020","2,050","1,920","0.02K","-1.24%"
"2021년 08월 18일","2,010","1,970","2,035","1,965","315.64K","0.75%"
"2021년 08월 17일","1,995","2,060","2,080","1,980","385.46K","-4.09%"
"2021년 08월 13일","2,080","2,095","2,105","1,995","469.84K","-0.72%"
"2021년 08월 12일","2,095","2,125","2,130","2,095","364.37K","-0.71%"
"2021년 08월 11일","2,110","2,180","2,180","2,105","466.77K","-3.65%"
"2021년 08월 10일","2,190","2,260","2,260","2,190","0.02K","-3.31%"
"2021년 08월 09일","2,265","2,360","2,360","2,260","0.35K","-2.79%"
"2021년 08월 08일","2,330","2,330","2,330","2,330","-","0.00%"
"2021년 08월 06일","2,330","2,310","2,355","2,270","661.97K","1.75%"
"2021년 08월 05일","2,290","2,285","2,320","2,270","402.62K","0.22%"
"2021년 08월 04일","2,285","2,230","2,295","2,230","273.34K","1.56%"
"2021년 08월 03일","2,250","2,290","2,340","2,245","788.69K","-2.39%"
"2021년 08월 02일","2,305","2,405","2,405","2,305","0.10K","-4.75%"
"2021년 08월 01일","2,420","2,420","2,420","2,420","-","0.00%"
"2021년 07월 30일","2,420","2,400","2,465","2,330","1.78M","2.76%"
"2021년 07월 29일","2,355","2,370","2,420","2,325","0.05K","0.21%"
"2021년 07월 28일","2,350","2,280","2,380","2,280","0.28K","2.40%"
"2021년 07월 27일","2,295","2,215","2,510","2,210","3.91K","3.15%"
"2021년 07월 26일","2,225","2,270","2,275","2,205","0.02K","-1.55%"
"2021년 07월 23일","2,260","2,245","2,275","2,230","125.50K","1.57%"
"2021년 07월 22일","2,225","2,250","2,290","2,220","205.94K","-1.11%"
"2021년 07월 21일","2,250","2,255","2,305","2,240","192.65K","0.22%"
"2021년 07월 20일","2,245","2,215","2,290","2,200","269.95K","-0.22%"
"2021년 07월 19일","2,250","2,275","2,275","2,230","218.36K","-1.32%"
"2021년 07월 16일","2,280","2,305","2,305","2,265","193.77K","-1.08%"
"2021년 07월 15일","2,305","2,305","2,320","2,280","221.47K","0.00%"
"2021년 07월 14일","2,305","2,320","2,320","2,275","207.98K","-0.65%"
"2021년 07월 13일","2,320","2,330","2,330","2,295","149.53K","1.53%"
"2021년 07월 12일","2,285","2,265","2,315","2,265","186.28K","0.88%"
"2021년 07월 09일","2,265","2,235","2,275","2,205","607.09K","-0.22%"
"2021년 07월 08일","2,270","2,345","2,360","2,265","617.02K","-3.20%"
"2021년 07월 07일","2,345","2,350","2,365","2,330","0.10K","-1.05%"
"2021년 07월 06일","2,370","2,335","2,385","2,330","0.01K","0.64%"
"2021년 07월 05일","2,355","2,425","2,430","2,335","0.00K","-2.69%"
"2021년 07월 02일","2,420","2,430","2,435","2,385","322.78K","0.00%"
"2021년 07월 01일","2,420","2,380","2,450","2,375","1.95K","2.11%"
"2021년 06월 30일","2,370","2,390","2,405","2,330","330.90K","-0.84%"
"2021년 06월 29일","2,390","2,380","2,415","2,365","303.22K","0.42%"
"2021년 06월 28일","2,380","2,405","2,435","2,355","0.00K","-1.04%"
"2021년 06월 27일","2,405","2,405","2,405","2,405","-","0.00%"
"2021년 06월 25일","2,405","2,390","2,430","2,375","344.30K","0.63%"
"2021년 06월 24일","2,390","2,385","2,425","2,335","461.12K","-0.21%"
"2021년 06월 23일","2,395","2,435","2,445","2,370","0.01K","-2.24%"
"2021년 06월 22일","2,450","2,470","2,480","2,420","0.20K","0.41%"
"2021년 06월 21일","2,440","2,450","2,515","2,410","716.69K","-0.41%"
"2021년 06월 20일","2,450","2,450","2,450","2,450","-","0.00%"
"2021년 06월 18일","2,450","2,535","2,570","2,425","1.25M","-3.35%"
"2021년 06월 17일","2,535","2,555","2,585","2,525","5.07K","-0.78%"
"2021년 06월 16일","2,555","2,600","2,610","2,545","533.22K","-0.97%"
"2021년 06월 15일","2,580","2,585","2,640","2,570","0.15K","-0.77%"
"2021년 06월 14일","2,600","2,550","2,625","2,515","3.05K","2.56%"
"2021년 06월 11일","2,535","2,540","2,600","2,505","648.14K","-0.20%"
"2021년 06월 10일","2,540","2,540","2,590","2,510","894.39K","0.00%"
"2021년 06월 09일","2,540","2,615","2,640","2,540","0.28K","-2.31%"
"2021년 06월 08일","2,600","2,665","2,730","2,595","3.56M","-1.33%"
"2021년 06월 07일","2,635","2,625","2,670","2,565","1.07K","0.38%"
"2021년 06월 06일","2,625","2,625","2,625","2,625","-","0.00%"
"2021년 06월 04일","2,625","2,540","2,670","2,525","5.99M","2.74%"
"2021년 06월 03일","2,555","2,570","2,570","2,505","4.96K","0.59%"
"2021년 06월 02일","2,540","2,490","2,580","2,450","6.24K","0.79%"
"2021년 06월 01일","2,520","2,420","2,520","2,375","13.93K","4.35%"
"2021년 05월 31일","2,415","2,445","2,490","2,405","1.48M","-1.83%"
"2021년 05월 30일","2,460","2,460","2,460","2,460","-","0.00%"
"2021년 05월 28일","2,460","2,430","2,580","2,415","5.43M","2.29%"
"2021년 05월 27일","2,405","2,590","2,600","2,405","25.70K","-8.21%"
"2021년 05월 26일","2,620","2,565","2,645","2,495","13.00K","2.54%"
"2021년 05월 25일","2,555","2,300","2,675","2,300","19.13K","11.09%"
"2021년 05월 24일","2,300","2,420","2,600","2,300","5.53M","-3.36%"
"2021년 05월 21일","2,380","2,405","2,495","2,375","2.74M","-1.86%"
"2021년 05월 20일","2,425","2,245","2,455","2,245","17.20K","5.90%"
"2021년 05월 19일","2,290","2,290","2,290","2,290","-","0.00%"
