"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 12월 21일","9,480","9,320","9,670","9,160","54.19K","1.72%"
"2020년 12월 18일","9,320","9,460","9,610","9,270","53.49K","-1.38%"
"2020년 12월 17일","9,450","9,520","9,520","9,350","19.03K","-0.32%"
"2020년 12월 16일","9,480","9,210","9,590","9,140","71.36K","3.72%"
"2020년 12월 15일","9,140","9,590","9,590","9,130","77.61K","-4.19%"
"2020년 12월 14일","9,540","9,140","9,730","9,130","107.56K","4.38%"
"2020년 12월 11일","9,140","9,280","10,200","9,140","292.81K","0.99%"
"2020년 12월 10일","9,050","8,940","9,140","8,870","24.67K","1.23%"
"2020년 12월 09일","8,940","9,000","9,060","8,850","15.53K","-0.67%"
"2020년 12월 08일","9,000","8,780","9,120","8,780","101.02K","2.74%"
"2020년 12월 07일","8,760","8,770","9,100","8,650","23.95K","-0.11%"
"2020년 12월 04일","8,770","8,820","8,850","8,620","35.16K","0.23%"
"2020년 12월 03일","8,750","8,900","8,920","8,720","33.17K","-1.91%"
"2020년 12월 02일","8,920","8,900","8,940","8,750","36.01K","0.90%"
"2020년 12월 01일","8,840","8,980","9,230","8,830","49.09K","-2.32%"
"2020년 11월 30일","9,050","9,110","9,210","8,740","66.15K","-0.66%"
"2020년 11월 27일","9,110","9,670","9,700","9,110","151.35K","-7.23%"
"2020년 11월 26일","9,820","8,950","10,350","8,670","814.33K","8.63%"
"2020년 11월 25일","9,040","8,410","10,400","8,390","1.52M","9.18%"
"2020년 11월 24일","8,280","8,400","8,400","8,240","42.97K","0.36%"
"2020년 11월 23일","8,250","8,240","8,270","8,190","5.86K","0.00%"
"2020년 11월 20일","8,250","8,280","8,290","8,170","14.84K","0.49%"
"2020년 11월 19일","8,210","8,320","8,320","8,170","21.76K","0.12%"
"2020년 11월 18일","8,200","8,200","8,280","8,080","13.87K","0.00%"
"2020년 11월 17일","8,200","8,210","8,270","8,100","11.77K","1.23%"
"2020년 11월 16일","8,100","8,110","8,300","8,060","12.24K","-1.22%"
"2020년 11월 13일","8,200","8,100","8,290","8,080","9.61K","0.61%"
"2020년 11월 12일","8,150","8,270","8,370","8,010","25.05K","-1.21%"
"2020년 11월 11일","8,250","8,350","8,350","8,060","41.59K","1.60%"
"2020년 11월 10일","8,120","8,400","9,490","8,070","400.02K","1.50%"
"2020년 11월 09일","8,000","8,010","8,060","7,910","6.95K","-0.37%"
"2020년 11월 06일","8,030","8,000","8,080","7,970","6.57K","0.38%"
"2020년 11월 05일","8,000","8,190","8,190","7,860","23.82K","-3.38%"
"2020년 11월 04일","8,280","7,790","8,690","7,790","76.46K","6.29%"
"2020년 11월 03일","7,790","7,720","7,960","7,720","10.25K","2.10%"
"2020년 11월 02일","7,630","7,600","7,850","7,600","2.74K","0.53%"
"2020년 10월 30일","7,590","7,810","7,890","7,590","5.95K","-2.82%"
"2020년 10월 29일","7,810","7,900","7,950","7,610","3.88K","-1.51%"
"2020년 10월 28일","7,930","7,770","8,030","7,550","4.40K","4.07%"
"2020년 10월 27일","7,620","7,800","7,800","7,620","5.27K","-1.68%"
"2020년 10월 26일","7,750","8,070","8,150","7,750","10.56K","-2.88%"
"2020년 10월 23일","7,980","8,070","8,190","7,890","6.10K","-1.12%"
"2020년 10월 22일","8,070","8,200","8,200","7,930","4.60K","-0.98%"
"2020년 10월 21일","8,150","8,080","8,350","8,060","4.83K","-0.61%"
"2020년 10월 20일","8,200","8,090","8,280","7,900","12.76K","1.86%"
"2020년 10월 19일","8,050","8,240","8,390","7,950","6.48K","-2.31%"
"2020년 10월 16일","8,240","8,280","8,440","8,110","11.44K","-0.72%"
"2020년 10월 15일","8,300","8,580","8,580","7,950","47.35K","-1.78%"
"2020년 10월 14일","8,450","8,300","8,500","8,250","33.46K","2.42%"
"2020년 10월 13일","8,250","7,900","8,320","7,900","43.78K","4.17%"
"2020년 10월 12일","7,920","7,780","7,960","7,640","11.25K","1.93%"
"2020년 10월 08일","7,770","7,750","7,780","7,650","12.26K","1.04%"
"2020년 10월 07일","7,690","7,660","7,720","7,560","7.34K","0.39%"
"2020년 10월 06일","7,660","7,540","7,680","7,510","12.96K","2.27%"
"2020년 10월 05일","7,490","7,520","7,570","7,420","7.14K","-0.40%"
