"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 21일","7,410","7,600","7,600","7,380","506.53K","-3.14%"
"2021년 04월 20일","7,650","7,380","7,650","7,370","552.00K","1.86%"
"2021년 04월 19일","7,510","7,680","7,900","7,500","1.94M","-1.70%"
"2021년 04월 18일","7,640","7,640","7,640","7,640","-","0.00%"
"2021년 04월 16일","7,640","7,600","8,000","7,570","3.97M","1.19%"
"2021년 04월 15일","7,550","7,400","8,670","7,400","19.93M","4.72%"
"2021년 04월 14일","7,210","7,240","7,270","7,130","241.89K","0.00%"
"2021년 04월 13일","7,210","7,180","7,230","7,070","293.63K","1.26%"
"2021년 04월 12일","7,120","7,100","7,130","7,050","108.99K","0.28%"
"2021년 04월 09일","7,100","7,090","7,150","7,080","125.62K","0.00%"
"2021년 04월 08일","7,100","7,140","7,200","7,040","197.14K","0.00%"
"2021년 04월 07일","7,100","7,120","7,170","7,090","171.43K","-0.28%"
"2021년 04월 06일","7,120","7,200","7,220","7,090","327.93K","-1.52%"
"2021년 04월 05일","7,230","7,280","7,390","7,190","257.27K","-0.55%"
"2021년 04월 02일","7,270","7,300","7,410","7,250","508.10K","0.83%"
"2021년 04월 01일","7,210","7,210","7,280","7,200","204.67K","-0.55%"
"2021년 03월 31일","7,250","7,200","7,290","7,160","442.51K","0.14%"
"2021년 03월 30일","7,240","7,380","7,380","7,210","595.96K","-1.76%"
"2021년 03월 29일","7,370","7,600","8,250","7,360","7.48M","-1.34%"
"2021년 03월 26일","7,470","7,310","7,570","7,200","947.79K","2.19%"
"2021년 03월 25일","7,310","7,750","7,800","7,310","1.74M","1.53%"
"2021년 03월 24일","7,200","7,010","7,700","7,000","1.45M","0.56%"
"2021년 03월 23일","7,160","7,270","7,290","7,150","332.00K","-2.45%"
"2021년 03월 22일","7,340","7,390","7,420","7,150","588.68K","1.66%"
"2021년 03월 21일","7,220","7,220","7,220","7,220","-","0.00%"
"2021년 03월 19일","7,220","7,060","7,250","7,040","460.77K","-1.90%"
"2021년 03월 18일","7,360","7,460","7,460","7,260","445.13K","-1.21%"
"2021년 03월 17일","7,450","7,520","7,520","7,380","400.39K","-1.06%"
"2021년 03월 16일","7,530","7,600","7,850","7,420","2.01M","0.27%"
"2021년 03월 15일","7,510","7,410","7,550","7,310","475.95K","0.81%"
"2021년 03월 14일","7,450","7,450","7,450","7,450","-","0.00%"
"2021년 03월 12일","7,450","7,490","7,530","7,360","588.93K","1.22%"
"2021년 03월 11일","7,360","7,280","7,560","7,270","1.18M","2.08%"
"2021년 03월 10일","7,210","7,530","7,800","7,210","1.33M","-7.80%"
"2021년 03월 09일","7,820","7,580","7,820","7,400","1.44M","-0.76%"
"2021년 03월 08일","7,880","7,950","8,340","7,800","7.53M","7.07%"
"2021년 03월 07일","7,360","7,360","7,360","7,360","-","0.00%"
"2021년 03월 05일","7,360","8,310","8,780","7,310","14.50M","1.80%"
"2021년 03월 04일","7,230","7,300","7,660","7,160","2.58M","0.84%"
"2021년 03월 03일","7,170","7,400","7,430","7,100","1.65M","-4.78%"
"2021년 03월 02일","7,530","7,700","7,780","7,410","2.67M","-3.71%"
"2021년 03월 01일","7,820","7,820","7,820","7,820","-","0.00%"
"2021년 02월 26일","7,820","6,750","8,620","6,750","30.76M","12.03%"
"2021년 02월 25일","6,980","6,970","7,400","6,800","1.36M","3.71%"
"2021년 02월 24일","6,730","7,150","7,160","6,680","662.13K","-5.87%"
"2021년 02월 23일","7,150","7,160","7,870","7,020","6.63M","3.32%"
"2021년 02월 22일","6,920","6,840","6,960","6,810","160.60K","1.32%"
"2021년 02월 19일","6,830","7,110","7,110","6,810","302.89K","-4.48%"
"2021년 02월 18일","7,150","7,450","7,470","7,140","743.74K","-1.65%"
"2021년 02월 17일","7,270","7,410","7,440","7,150","732.45K","-0.41%"
"2021년 02월 16일","7,300","6,980","7,330","6,950","1.22M","5.34%"
"2021년 02월 15일","6,930","6,980","7,120","6,900","279.35K","0.43%"
"2021년 02월 14일","6,900","6,900","6,900","6,900","-","0.00%"
"2021년 02월 10일","6,900","7,000","7,040","6,550","177.64K","0.29%"
"2021년 02월 09일","6,880","6,960","7,090","6,880","268.33K","0.88%"
"2021년 02월 08일","6,820","6,840","7,000","6,700","192.21K","-0.15%"
"2021년 02월 05일","6,830","7,080","7,090","6,830","160.85K","-1.87%"
"2021년 02월 04일","6,960","6,900","7,300","6,820","995.84K","2.96%"
"2021년 02월 03일","6,760","6,670","6,770","6,570","175.32K","3.21%"
"2021년 02월 02일","6,550","6,420","6,580","6,400","98.46K","2.34%"
"2021년 02월 01일","6,400","6,340","6,440","6,150","121.30K","0.95%"
"2021년 01월 31일","6,340","6,340","6,340","6,340","-","0.00%"
"2021년 01월 29일","6,340","6,710","6,730","6,160","194.52K","-2.61%"
"2021년 01월 28일","6,510","6,660","6,730","6,510","149.14K","-3.98%"
"2021년 01월 27일","6,780","6,820","6,830","6,700","146.80K","0.44%"
"2021년 01월 26일","6,750","6,940","6,980","6,730","183.74K","-2.03%"
"2021년 01월 25일","6,890","7,020","7,030","6,880","193.52K","-1.57%"
"2021년 01월 22일","7,000","7,010","7,050","6,970","133.59K","0.00%"
"2021년 01월 21일","7,000","7,060","7,220","7,000","214.39K","-0.57%"
"2021년 01월 20일","7,040","7,030","7,100","7,000","107.56K","0.28%"
"2021년 01월 19일","7,020","7,130","7,170","6,930","214.98K","-1.54%"
"2021년 01월 18일","7,130","7,000","7,290","6,990","221.97K","-2.06%"
