"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 12월 02일","2,220","2,155","2,225","2,155","1.66M","1.14%"
"2021년 12월 01일","2,195","2,125","2,205","2,110","2.36M","3.29%"
"2021년 11월 30일","2,125","2,290","2,330","2,110","3.10M","-6.80%"
"2021년 11월 29일","2,280","2,235","2,325","2,230","1.81M","-2.15%"
"2021년 11월 26일","2,330","2,410","2,435","2,305","1.97M","-3.12%"
"2021년 11월 25일","2,405","2,450","2,515","2,400","2.66M","-1.23%"
"2021년 11월 24일","2,435","2,400","2,435","2,365","1.96M","0.83%"
"2021년 11월 23일","2,415","2,430","2,470","2,410","2.60M","-0.41%"
"2021년 11월 22일","2,425","2,555","2,555","2,390","3.52M","-5.09%"
"2021년 11월 21일","2,555","2,555","2,555","2,555","-","0.00%"
"2021년 11월 19일","2,555","2,540","2,625","2,535","2.70M","1.19%"
"2021년 11월 18일","2,525","2,600","2,615","2,520","3.18M","-1.94%"
"2021년 11월 17일","2,575","2,625","2,650","2,550","3.25M","-0.77%"
"2021년 11월 16일","2,595","2,675","2,685","2,585","4.26M","-3.71%"
"2021년 11월 15일","2,695","2,710","2,745","2,660","4.75M","0.56%"
"2021년 11월 14일","2,680","2,680","2,680","2,680","-","0.00%"
"2021년 11월 12일","2,680","2,750","2,800","2,585","8.07M","-2.55%"
"2021년 11월 11일","2,750","2,870","2,970","2,715","39.90M","2.61%"
"2021년 11월 10일","2,680","2,995","3,090","2,665","24.28M","-10.52%"
"2021년 11월 09일","2,995","2,775","2,995","2,775","30.59M","7.54%"
"2021년 11월 08일","2,785","2,765","2,960","2,745","28.77M","3.72%"
"2021년 11월 05일","2,685","2,755","2,845","2,680","8.48M","-2.72%"
"2021년 11월 04일","2,760","2,700","2,880","2,665","20.50M","0.55%"
"2021년 11월 03일","2,745","2,600","2,755","2,545","13.93M","7.02%"
"2021년 11월 02일","2,565","2,560","2,670","2,545","5.47M","1.38%"
"2021년 11월 01일","2,530","2,770","2,800","2,530","7.28M","-6.99%"
"2021년 10월 31일","2,720","2,720","2,720","2,720","-","0.00%"
"2021년 10월 29일","2,720","2,730","2,840","2,695","8.99M","-0.55%"
"2021년 10월 28일","2,735","2,685","2,905","2,685","38.57M","3.01%"
"2021년 10월 27일","2,655","2,640","2,760","2,630","10.04M","0.38%"
"2021년 10월 26일","2,645","2,780","2,890","2,625","31.53M","2.12%"
"2021년 10월 25일","2,590","2,600","2,670","2,485","6.94M","-1.33%"
"2021년 10월 24일","2,625","2,625","2,625","2,625","-","0.00%"
"2021년 10월 22일","2,625","2,585","2,730","2,575","8.31M","0.77%"
"2021년 10월 21일","2,605","2,770","2,805","2,605","10.84M","-4.58%"
"2021년 10월 20일","2,730","2,760","2,965","2,650","51.95M","0.00%"
"2021년 10월 19일","2,730","2,845","3,385","2,725","130.11M","-4.04%"
"2021년 10월 18일","2,845","2,835","3,035","2,780","36.86M","1.43%"
"2021년 10월 17일","2,805","2,805","2,805","2,805","-","0.00%"
"2021년 10월 15일","2,805","2,785","2,975","2,690","32.13M","-0.36%"
"2021년 10월 14일","2,815","2,405","2,965","2,390","124.80M","19.03%"
"2021년 10월 13일","2,365","2,270","2,530","2,260","20.09M","5.58%"
"2021년 10월 12일","2,240","2,400","2,405","2,210","6.89M","-9.68%"
"2021년 10월 11일","2,480","2,480","2,480","2,480","-","0.00%"
"2021년 10월 08일","2,480","2,450","2,510","2,385","9.05M","1.02%"
"2021년 10월 07일","2,455","2,345","2,470","2,335","10.80M","3.81%"
"2021년 10월 06일","2,365","2,620","2,655","2,350","12.11M","-8.16%"
"2021년 10월 05일","2,575","2,600","2,625","2,520","10.43M","-7.37%"
"2021년 10월 04일","2,780","2,780","2,780","2,780","-","0.00%"
"2021년 10월 01일","2,780","2,915","3,040","2,685","27.87M","-3.64%"
"2021년 09월 30일","2,885","3,075","3,180","2,870","32.08M","-5.10%"
"2021년 09월 29일","3,040","2,570","3,230","2,535","150.61M","17.60%"
"2021년 09월 28일","2,585","1,980","2,585","1,955","84.23M","29.90%"
"2021년 09월 27일","1,990","2,050","2,050","1,980","1.22M","0.00%"
"2021년 09월 24일","1,990","1,970","2,035","1,930","1.84M","1.53%"
"2021년 09월 23일","1,960","1,995","2,005","1,960","764.60K","-2.24%"
"2021년 09월 22일","2,005","2,005","2,005","2,005","-","0.00%"
"2021년 09월 17일","2,005","2,020","2,030","1,980","594.07K","-0.74%"
"2021년 09월 16일","2,020","2,055","2,060","1,995","759.27K","-0.74%"
"2021년 09월 15일","2,035","2,020","2,060","2,020","676.15K","0.74%"
"2021년 09월 14일","2,020","2,005","2,030","2,005","467.06K","1.25%"
"2021년 09월 13일","1,995","2,055","2,065","1,995","981.24K","-2.92%"
"2021년 09월 12일","2,055","2,055","2,055","2,055","-","0.00%"
"2021년 09월 10일","2,055","2,050","2,075","2,030","663.42K","0.24%"
"2021년 09월 09일","2,050","2,045","2,085","2,045","581.87K","-0.49%"
"2021년 09월 08일","2,060","2,105","2,110","2,055","1.03M","-2.14%"
"2021년 09월 07일","2,105","2,100","2,120","2,085","716.56K","0.24%"
"2021년 09월 06일","2,100","2,115","2,125","2,085","669.49K","-0.71%"
"2021년 09월 03일","2,115","2,110","2,130","2,095","749.78K","0.71%"
"2021년 09월 02일","2,100","2,125","2,125","2,090","741.00K","-0.71%"
"2021년 09월 01일","2,115","2,060","2,115","2,060","1.04M","3.17%"
"2021년 08월 31일","2,050","2,085","2,090","2,040","1.03M","-1.44%"
"2021년 08월 30일","2,080","2,120","2,125","2,080","951.51K","-0.72%"
"2021년 08월 29일","2,095","2,095","2,095","2,095","-","0.00%"
"2021년 08월 27일","2,095","2,100","2,120","2,090","1.03M","-1.18%"
"2021년 08월 26일","2,120","2,115","2,145","2,095","1.44M","1.19%"
"2021년 08월 25일","2,095","2,120","2,125","2,070","1.31M","-0.95%"
"2021년 08월 24일","2,115","2,085","2,150","2,075","2.06M","2.92%"
"2021년 08월 23일","2,055","2,040","2,105","1,995","2.64M","0.74%"
"2021년 08월 22일","2,040","2,040","2,040","2,040","-","0.00%"
"2021년 08월 20일","2,040","2,160","2,175","2,015","2.87M","-4.23%"
"2021년 08월 19일","2,130","2,225","2,350","2,120","3.28M","-5.54%"
"2021년 08월 18일","2,255","2,235","2,295","2,205","1.69M","0.00%"
"2021년 08월 17일","2,255","2,350","2,355","2,215","2.44M","-4.25%"
"2021년 08월 16일","2,355","2,355","2,355","2,355","-","0.00%"
"2021년 08월 13일","2,355","2,325","2,370","2,220","3.78M","1.51%"
"2021년 08월 12일","2,320","2,370","2,405","2,295","2.98M","-1.90%"
"2021년 08월 11일","2,365","2,385","2,450","2,360","4.07M","-4.83%"
"2021년 08월 10일","2,485","2,630","2,645","2,470","6.10M","-6.23%"
"2021년 08월 09일","2,650","2,685","2,870","2,650","31.14M","-0.75%"
"2021년 08월 08일","2,670","2,670","2,670","2,670","-","0.00%"
"2021년 08월 06일","2,670","2,640","2,720","2,575","10.81M","0.75%"
"2021년 08월 05일","2,650","2,555","2,765","2,555","20.38M","3.92%"
"2021년 08월 04일","2,550","2,535","2,620","2,515","6.26M","0.39%"
"2021년 08월 03일","2,540","2,605","2,720","2,495","19.20M","-2.50%"
"2021년 08월 02일","2,605","2,635","2,700","2,575","7.15M","-4.93%"
"2021년 08월 01일","2,740","2,740","2,740","2,740","-","0.00%"
"2021년 07월 30일","2,740","2,860","2,880","2,695","30.30M","0.00%"
"2021년 07월 29일","2,740","2,655","2,885","2,630","50.55M","6.61%"
"2021년 07월 28일","2,570","2,795","2,990","2,535","84.54M","-0.39%"
"2021년 07월 27일","2,580","2,275","2,905","2,260","142.01M","13.41%"
"2021년 07월 26일","2,275","2,245","2,335","2,240","4.07M","1.56%"
"2021년 07월 25일","2,240","2,240","2,240","2,240","-","0.00%"
"2021년 07월 23일","2,240","2,305","2,380","2,225","6.39M","-2.61%"
"2021년 07월 22일","2,300","2,320","2,340","2,265","4.36M","-2.75%"
"2021년 07월 21일","2,365","2,295","2,385","2,250","11.27M","5.58%"
"2021년 07월 20일","2,240","2,190","2,340","2,185","10.09M","0.45%"
"2021년 07월 19일","2,230","2,135","2,335","2,100","15.68M","4.45%"
"2021년 07월 16일","2,135","2,150","2,150","2,125","387.99K","-0.93%"
"2021년 07월 15일","2,155","2,140","2,155","2,120","584.18K","1.17%"
"2021년 07월 14일","2,130","2,150","2,155","2,120","528.66K","-0.93%"
"2021년 07월 13일","2,150","2,135","2,165","2,130","652.43K","0.94%"
"2021년 07월 12일","2,130","2,130","2,145","2,115","497.45K","0.47%"
"2021년 07월 11일","2,120","2,120","2,120","2,120","-","0.00%"
"2021년 07월 09일","2,120","2,145","2,170","2,100","1.28M","-2.75%"
"2021년 07월 08일","2,180","2,205","2,265","2,180","2.12M","-0.46%"
"2021년 07월 07일","2,190","2,200","2,210","2,165","1.08M","-1.13%"
"2021년 07월 06일","2,215","2,210","2,290","2,195","4.24M","0.45%"
"2021년 07월 05일","2,205","2,220","2,225","2,185","1.20M","-0.45%"
"2021년 07월 04일","2,215","2,215","2,215","2,215","-","0.00%"
"2021년 07월 02일","2,215","2,150","2,235","2,130","2.76M","3.02%"
"2021년 07월 01일","2,150","2,165","2,170","2,135","576.92K","0.70%"
"2021년 06월 30일","2,135","2,135","2,160","2,125","586.31K","0.00%"
"2021년 06월 29일","2,135","2,175","2,180","2,130","925.22K","-0.47%"
"2021년 06월 28일","2,145","2,125","2,180","2,120","866.95K","0.94%"
"2021년 06월 27일","2,125","2,125","2,125","2,125","-","0.00%"
"2021년 06월 25일","2,125","2,170","2,180","2,120","1.23M","-1.39%"
"2021년 06월 24일","2,155","2,220","2,225","2,155","2.84M","-2.93%"
"2021년 06월 23일","2,220","2,240","2,250","2,210","2.21M","-0.22%"
"2021년 06월 22일","2,225","2,240","2,260","2,210","1.54M","-0.22%"
"2021년 06월 21일","2,230","2,220","2,310","2,215","4.80M","1.13%"
"2021년 06월 20일","2,205","2,205","2,205","2,205","-","0.00%"
"2021년 06월 18일","2,205","2,205","2,215","2,195","1.39M","0.23%"
"2021년 06월 17일","2,200","2,225","2,255","2,190","2.13M","-1.57%"
"2021년 06월 16일","2,235","2,220","2,360","2,200","8.59M","1.13%"
"2021년 06월 15일","2,210","2,195","2,220","2,160","1.97M","1.14%"
"2021년 06월 14일","2,185","2,210","2,220","2,185","1.21M","-1.13%"
"2021년 06월 13일","2,210","2,210","2,210","2,210","-","0.00%"
"2021년 06월 11일","2,210","2,210","2,270","2,185","5.09M","0.68%"
"2021년 06월 10일","2,195","2,225","2,230","2,170","2.17M","-1.35%"
"2021년 06월 09일","2,225","2,265","2,265","2,195","3.16M","-0.22%"
"2021년 06월 08일","2,230","2,250","2,470","2,210","22.03M","0.90%"
"2021년 06월 07일","2,210","2,260","2,260","2,205","2.83M","0.00%"
"2021년 06월 04일","2,210","2,185","2,240","2,170","3.03M","1.14%"
"2021년 06월 03일","2,185","2,205","2,205","2,175","1.37M","-0.23%"
"2021년 06월 02일","2,190","2,240","2,245","2,175","3.90M","0.00%"
"2021년 06월 01일","2,190","2,105","2,190","2,085","2.52M","3.79%"
"2021년 05월 31일","2,110","2,125","2,140","2,085","1.26M","-0.24%"
"2021년 05월 30일","2,115","2,115","2,115","2,115","-","0.00%"
"2021년 05월 28일","2,115","2,090","2,225","2,090","10.02M","3.68%"
"2021년 05월 27일","2,040","2,045","2,055","2,025","849.94K","0.25%"
"2021년 05월 26일","2,035","2,040","2,055","2,025","1.24M","0.00%"
"2021년 05월 25일","2,035","2,040","2,085","2,025","2.18M","0.00%"
"2021년 05월 24일","2,035","2,050","2,050","1,980","1.70M","-0.73%"
"2021년 05월 21일","2,050","2,135","2,145","2,050","1.56M","-2.84%"
"2021년 05월 20일","2,110","2,095","2,150","2,080","1.63M","-0.94%"
"2021년 05월 19일","2,130","2,130","2,130","2,130","-","0.00%"
"2021년 05월 18일","2,130","2,155","2,160","2,115","1.88M","0.71%"
"2021년 05월 17일","2,115","2,210","2,215","2,100","3.60M","-4.08%"
"2021년 05월 16일","2,205","2,205","2,205","2,205","-","0.00%"
"2021년 05월 14일","2,205","2,335","2,340","2,200","4.52M","-5.36%"
"2021년 05월 13일","2,330","2,360","2,425","2,275","5.00M","-1.27%"
"2021년 05월 12일","2,360","2,350","2,540","2,345","22.73M","0.85%"
"2021년 05월 11일","2,340","2,370","2,395","2,185","5.07M","-3.11%"
