FAO Food Price Index,,,,,,
2014-2016=100,,,,,,
Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
02-Sep,54.9,54.4,41.6,63.8,56.68,43.1
02-Oct,55.2,52.6,42.9,64.4,58.76,46.5
02-Nov,56.3,52.8,45.5,63,63.91,48.5
02-Dec,55.6,51.1,49.3,59.8,65.51,49.2
03-Jan,56,53.1,51.3,58,64.32,50.7
03-Feb,56.5,54.1,53.1,57.8,62.35,55.7
03-Mar,55.5,54.5,53.7,56.5,59.23,50.9
03-Apr,55.6,55.7,52.7,56.4,59.57,48
03-May,56.3,56.3,52.6,58.2,61.09,44.4
03-Jun,56,56.2,52.6,57.7,61.96,41.6
03-Jul,56.7,60.5,53.2,56.5,58.84,42.3
03-Aug,57.6,60.7,53.6,59.9,57.09,42.3
03-Sep,58.7,63,55.2,60.5,59.33,37
03-Oct,60.3,62.7,57.6,60.6,67.39,36.9
03-Nov,61.8,62.2,58.6,64.8,68.83,37.6
03-Dec,62.4,61.2,59.7,65.7,71.56,38.9
04-Jan,64.3,65.9,60.9,66.9,71.22,35.9
04-Feb,65,63.8,64.3,67.5,76.06,36.2
04-Mar,66.7,66.3,65.2,68.5,76.73,40
04-Apr,67.3,66.3,65.8,70.2,76.45,40.7
04-May,66.4,65.8,67.8,68.8,73.52,39.2
04-Jun,66.1,68.8,70.7,66.4,66.06,42.9
04-Jul,65.6,70.7,72.6,60.7,64.82,49
04-Aug,64.5,68.9,72.7,59.1,65.44,46.9
04-Sep,65.2,69.6,73.3,60,66.27,47.6
04-Oct,64.7,67.7,73.8,59.3,65.8,52.3
04-Nov,65.4,68.3,75.1,60,66.94,50.5
04-Dec,65.6,68.6,75.8,60.5,66.02,51
05-Jan,65.4,68.6,76.2,60.5,63.15,54
05-Feb,65.9,70,76.7,60.3,62.27,56.3
05-Mar,67.1,70.6,77,61.5,66.74,55
05-Apr,65.6,69.3,76.2,59.5,65.07,53.2
05-May,66.3,71.8,76.5,59.4,64.23,53.1
05-Jun,67.2,73,76.4,60.2,64.64,56
05-Jul,67.4,71.9,77.1,61.2,64.44,59.7
05-Aug,67.5,72.3,78.3,60.9,62.51,61.5
05-Sep,68.4,73.2,78.7,61.5,64,63.8
05-Oct,69.4,73.3,78.5,62.1,66.81,68.8
05-Nov,68.8,73.5,78,60.6,65.44,70.4
05-Dec,69.5,73.6,76.9,61.5,63.49,82.6
06-Jan,69.4,70,74.3,62.7,63.67,97.5
06-Feb,70.4,67.7,74.5,64.8,64.99,111.1
06-Mar,69.4,66.8,73.1,63.9,65.16,106.7
06-Apr,69.7,66.2,71.6,65.1,66.76,108.2
06-May,71,68,71.3,67.8,68.28,104.1
06-Jun,71.1,70.4,71,67.8,67.94,95.3
06-Jul,72.9,71.8,71.3,69.9,70.45,99.3
06-Aug,72.9,74.2,70.3,69.6,73.55,83.2
06-Sep,73,74.8,70.3,72.5,71.7,74.8
06-Oct,74.9,73.6,71.9,79.9,72.7,72
06-Nov,77.5,72.1,75.4,85.3,78.35,72.9
06-Dec,78.6,70.6,81.7,85.4,83.01,71.6
07-Jan,78.1,69.6,84.2,85.1,82.27,67.8
07-Feb,79.6,70.9,88.3,87,82.87,65.4
07-Mar,80.8,72.9,91.8,86.4,84.42,64.6
07-Apr,83.6,74.8,102,85.1,92.76,60.2
07-May,86.2,76.6,105.3,86.6,100.25,58.4
07-Jun,91.1,78,121,91.9,104.92,57.5
07-Jul,95.3,79.2,135,94.9,108.58,62.9
07-Aug,98.9,79.4,141.5,102.1,112.8,60.7
07-Sep,105,80.5,145.1,117.2,118.25,60.4
07-Oct,107.6,79.2,148,121.3,125.85,61.9
07-Nov,110.5,80.2,154,121,136.25,62.5
07-Dec,114.4,81,152.6,132.2,138.56,66.3
08-Jan,120,81.6,150.6,141,154.1,74.1
08-Feb,128,79.5,149.9,160.8,168.63,83.6
08-Mar,132.1,84.7,152.6,163.3,176.6,81.7
08-Apr,130.4,86.2,148.9,162.7,169.41,77.7
08-May,130,91,144.3,157.4,172.02,74.7
08-Jun,132.5,93,143.9,160.3,178.32,75
08-Jul,130.1,100.1,144.1,148.2,164.8,88.1
08-Aug,121.1,101.8,133.5,136.5,135.62,90.4
08-Sep,112.8,100.9,120.5,125.3,120.59,83.7
08-Oct,97.6,95,107,104.9,92.21,73.6
08-Nov,89.5,87.4,97.8,96,82.03,74.9
08-Dec,86,80.8,94.9,95.1,78.55,72.7
09-Jan,86.4,77.3,88.2,100.4,82.78,77.4
09-Feb,84.2,75,82.6,97.2,82.24,81.9
09-Mar,84,75.4,80.9,97.2,81.49,82.9
09-Apr,87.2,77.9,80.4,98.1,93.8,84.5
09-May,93.3,80.9,83.5,103.3,106.61,99.4
09-Jun,93.3,83.1,84.7,103,100.72,101.7
09-Jul,90.7,85.2,85.1,94.5,89.9,114
09-Aug,93.5,85.3,88,91.9,97.85,138.8
09-Sep,93,84.3,95.1,89.8,93.25,142.6
09-Oct,94.8,82.5,102.7,93.8,95.17,140.1
09-Nov,98.8,83.7,113.1,98,101.76,137.8
09-Dec,100.7,83.9,112.8,99,107.56,145.6
10-Jan,101.5,85,109,98.4,107.1,163.8
10-Feb,99,85.7,101.6,94,107.31,157.4
10-Mar,96.3,86.9,101.6,91.8,110.33,115.5
10-Apr,96.8,89.5,109.7,90.7,109.36,101.8
10-May,96.3,89.8,111.8,90.6,107.17,94.1
10-Jun,95.8,90.8,110.4,87.8,106.03,98.1
10-Jul,100,91.8,112.8,95.3,110.13,107.9
10-Aug,107.7,92.6,112.3,112.9,121.81,114.6
10-Sep,114.1,92.5,116,125.9,124.85,138.7
10-Oct,120.1,94,121.4,130.6,139.18,152.3
10-Nov,124.1,96.1,118.7,132.4,153.87,162.8
10-Dec,129.3,97.4,117.4,139.7,166.26,173.8
11-Jan,133.7,97.6,122.8,144.9,174.49,183.2
11-Feb,137.6,100.3,130.3,151.4,175.43,182.4
11-Mar,134.3,103.5,135.8,145.5,163.11,162.4
11-Apr,136.4,107.7,134.5,151.7,162.79,150.7
11-May,135.2,108.1,134.2,150.9,162.4,136.2
11-Jun,135,106.9,135.3,147.1,160.78,156
11-Jul,133.2,106.5,133.6,140.5,156.05,174.6
11-Aug,133,105.6,131.9,144.9,151.48,171.7
11-Sep,130.4,106.9,127.1,140.5,147.82,165.3
11-Oct,125.7,106.2,126.2,133.1,137.99,157.5
11-Nov,126.1,108.3,125.1,130.9,144.96,148.2
11-Dec,122.1,106.5,122,124.4,140.45,142.6
12-Jan,122.4,103.1,120.3,127.2,144.33,145.8
12-Feb,125.4,105.6,121.2,131.1,148.34,149.3
12-Mar,125.8,106.5,118.1,130.6,152.47,149.1
12-Apr,124.4,105.7,112.5,129.1,156.29,141.3
12-May,119,103.7,105.5,126.3,144.4,128.5
12-Jun,115.9,101.4,102.3,125.3,135.26,126.7
12-Jul,122.1,100.4,99.7,143.9,138.56,141.4
12-Aug,123.4,103.1,102,147.1,138.31,129.2
12-Sep,125.2,107,111,146.8,136.93,123.7
12-Oct,124,108,114.2,146.5,124.9,125.7
12-Nov,123.6,107.7,114.9,148.5,121.52,119.7
12-Dec,122.9,107.4,118.1,146.4,118.38,119.5
13-Jan,123.4,106.5,121,145.2,124.28,116.8
13-Feb,123.3,107.6,123.8,142.3,125.55,113
13-Mar,122.9,108,128,139.9,122.38,114.3
