"행정구역","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_계_10~19세","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_계_80~89세","2022년06월_계_90~99세","2022년06월_계_100세 이상"
"서울특별시 광진구 중곡제1동(1121574000)","15,306","15,306","664","694","2,731","2,949","2,030","2,436","2,180","1,108","460","51","3"
"서울특별시 광진구 중곡제2동(1121575000)","21,220","21,220","983","1,310","3,646","3,766","2,971","3,435","2,974","1,477","580","77","1"
"서울특별시 광진구 중곡제3동(1121576000)","16,066","16,066","657","865","2,528","2,727","2,171","2,792","2,429","1,302","533","59","3"
"서울특별시 광진구 중곡제4동(1121577000)","28,262","28,262","1,203","1,783","4,217","4,067","3,873","5,180","4,574","2,359","905","95","6"
"서울특별시 광진구 능동(1121578000)","11,294","11,294","488","491","2,370","2,488","1,618","1,456","1,294","709","336","41","3"
"서울특별시 광진구 광장동(1121581000)","34,349","34,349","2,781","5,400","3,935","3,446","7,181","5,848","3,264","1,470","865","150","9"
"서울특별시 광진구 자양제1동(1121582000)","22,101","22,101","840","1,431","4,084","3,725","3,256","3,495","2,946","1,538","699","86","1"
"서울특별시 광진구 자양제2동(1121583000)","24,273","24,273","1,406","1,762","3,483","3,686","3,776","4,005","3,677","1,731","651","92","4"
"서울특별시 광진구 자양제3동(1121584000)","27,775","27,775","2,125","2,486","3,676","3,933","4,397","4,698","3,725","1,666","912","153","4"
"서울특별시 광진구 자양제4동(1121584700)","18,019","18,019","662","820","2,949","2,874","2,353","2,942","3,058","1,607","676","76","2"
"서울특별시 광진구 구의제1동(1121585000)","23,254","23,254","937","1,204","4,926","4,578","3,317","3,422","2,732","1,428","626","79","5"
"서울특별시 광진구 구의제2동(1121586000)","26,311","26,311","1,580","2,220","3,556","3,684","4,204","4,556","3,635","1,939","833","99","5"
"서울특별시 광진구 구의제3동(1121587000)","28,444","28,444","1,722","2,427","4,389","4,461","4,331","4,756","3,677","1,750","807","120","4"
"서울특별시 동대문구 (1123000000)","337,330","337,330","19,038","22,910","56,465","48,590","48,690","52,053","47,582","27,652","12,759","1,523","68"
"서울특별시 동대문구 용신동(1123053600)","32,711","32,711","1,384","1,442","6,469","5,958","4,429","4,665","4,485","2,498","1,240","137","4"
"서울특별시 동대문구 제기동(1123054500)","24,523","24,523","922","1,341","4,565","3,135","2,880","3,760","3,915","2,566","1,280","148","11"
"서울특별시 동대문구 전농제1동(1123056000)","28,912","28,912","1,674","1,828","4,451","3,948","4,095","4,814","4,324","2,456","1,178","136","8"
"서울특별시 동대문구 전농제2동(1123057000)","18,397","18,397","1,126","1,630","2,124","2,145","2,850","3,217","2,824","1,561","828","90","2"
"서울특별시 동대문구 답십리제1동(1123060000)","28,899","28,899","2,590","1,966","4,075","5,037","4,816","4,194","3,461","1,792","852","107","9"
"서울특별시 동대문구 답십리제2동(1123061000)","27,993","27,993","1,741","1,821","3,383","4,253","4,002","4,744","4,334","2,446","1,139","128","2"
"서울특별시 동대문구 장안제1동(1123065000)","38,105","38,105","2,303","2,583","5,169","6,141","6,199","5,924","5,565","2,987","1,097","130","7"
"서울특별시 동대문구 장안제2동(1123066000)","32,400","32,400","2,646","2,786","3,727","4,815","5,717","4,957","4,433","2,351","842","115","11"
"서울특별시 동대문구 청량리동(1123070500)","18,675","18,675","665","1,024","2,135","2,050","2,281","3,179","3,793","2,316","1,083","147","2"
"서울특별시 동대문구 회기동(1123071000)","10,610","10,610","378","684","3,474","1,491","1,259","1,206","1,002","660","399","55","2"
"서울특별시 동대문구 휘경제1동(1123072000)","14,043","14,043","781","800","3,667","2,222","1,676","1,911","1,523","961","441","59","2"
"서울특별시 동대문구 휘경제2동(1123073000)","24,083","24,083","1,084","2,073","5,490","2,841","3,324","3,567","3,001","1,817","789","94","3"
"서울특별시 동대문구 이문제1동(1123074000)","18,162","18,162","628","1,256","4,979","2,162","2,195","2,558","2,128","1,396","770","87","3"
"서울특별시 동대문구 이문제2동(1123075000)","19,817","19,817","1,116","1,676","2,757","2,392","2,967","3,357","2,794","1,845","821","90","2"
"서울특별시 중랑구 (1126000000)","388,509","388,509","20,986","25,179","53,821","57,688","55,597","66,957","61,238","31,904","13,445","1,623","71"
"서울특별시 중랑구 면목제2동(1126052000)","24,067","24,067","1,101","1,437","3,215","3,304","3,416","4,678","3,883","2,048","866","117","2"
"서울특별시 중랑구 면목제4동(1126054000)","18,813","18,813","974","1,179","2,402","2,594","2,885","3,231","3,000","1,811","670","65","2"
"서울특별시 중랑구 면목제5동(1126055000)","14,795","14,795","1,374","869","1,712","2,615","2,353","2,419","2,011","1,010","397","34","1"
"서울특별시 중랑구 면목본동(1126056500)","33,383","33,383","1,331","1,724","5,151","5,242","4,645","6,109","5,123","2,795","1,147","110","6"
"서울특별시 중랑구 면목제7동(1126057000)","21,626","21,626","1,100","1,145","2,870","3,240","3,054","3,733","3,650","1,987","748","97","2"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,482","24,482","958","1,354","3,508","3,410","3,299","4,527","4,170","2,231","913","107","5"
"서울특별시 중랑구 상봉제1동(1126058000)","23,776","23,776","1,609","1,840","3,224","3,500","3,434","4,121","3,588","1,613","745","99","3"
"서울특별시 중랑구 상봉제2동(1126059000)","20,257","20,257","754","711","4,167","4,547","2,520","3,015","2,609","1,321","539","69","5"
"서울특별시 중랑구 중화제1동(1126060000)","19,398","19,398","1,051","1,222","2,626","3,157","2,640","3,157","3,185","1,664","633","63","0"
"서울특별시 중랑구 중화제2동(1126061000)","24,771","24,771","977","1,089","3,578","3,678","3,246","4,634","4,308","2,158","1,013","89","1"
"서울특별시 중랑구 묵제1동(1126062000)","34,417","34,417","2,008","2,994","4,922","4,640","5,489","5,562","4,859","2,675","1,132","122","14"
"서울특별시 중랑구 묵제2동(1126063000)","18,544","18,544","886","1,086","2,599","2,729","2,764","3,179","2,989","1,598","652","60","2"
"서울특별시 중랑구 망우본동(1126065500)","35,567","35,567","2,434","2,126","4,838","5,710","4,882","5,723","5,660","2,814","1,209","161","10"
"서울특별시 중랑구 망우제3동(1126066000)","16,156","16,156","623","995","2,134","1,947","2,145","3,159","2,903","1,533","611","104","2"
"서울특별시 중랑구 신내1동(1126068000)","38,280","38,280","2,687","3,800","4,617","4,597","5,867","6,291","5,915","2,945","1,339","212","10"
"서울특별시 중랑구 신내2동(1126069000)","20,177","20,177","1,119","1,608","2,258","2,778","2,958","3,419","3,385","1,701","831","114","6"
"서울특별시 성북구 (1129000000)","433,559","433,559","26,871","36,526","65,901","58,398","67,306","70,305","57,231","32,925","15,953","2,069","74"
"서울특별시 성북구 성북동(1129052500)","16,404","16,404","702","1,117","2,670","2,512","2,395","2,743","2,108","1,252","747","151","7"
"서울특별시 성북구 삼선동(1129055500)","22,725","22,725","936","1,777","4,166","3,215","3,313","3,739","2,811","1,703","951","103","11"
"서울특별시 성북구 동선동(1129057500)","15,434","15,434","478","944","4,568","2,519","1,881","1,938","1,493","1,027","515","67","4"
"서울특별시 성북구 돈암제1동(1129058000)","14,465","14,465","737","1,163","1,884","1,905","1,962","2,641","2,217","1,257","624","70","5"
"서울특별시 성북구 돈암제2동(1129059000)","23,642","23,642","1,810","2,676","2,813","2,845","4,146","4,186","2,823","1,447","762","131","3"
"서울특별시 성북구 안암동(1129060000)","15,134","15,134","404","836","5,405","2,028","1,545","1,956","1,483","926","488","60","3"
"서울특별시 성북구 보문동(1129061000)","16,296","16,296","1,050","1,014","2,696","2,726","2,433","2,656","2,048","1,085","519","65","4"
"서울특별시 성북구 정릉제1동(1129062000)","18,071","18,071","1,316","1,701","2,209","2,451","3,053","2,874","2,322","1,371","690","82","2"
"서울특별시 성북구 정릉제2동(1129063000)","22,890","22,890","1,336","1,779","3,131","3,040","3,384","3,812","3,411","1,978","904","115","0"
"서울특별시 성북구 정릉제3동(1129064000)","15,323","15,323","532","1,000","3,250","1,869","1,758","2,305","2,296","1,452","752","105","4"
"서울특별시 성북구 정릉제4동(1129065000)","24,661","24,661","1,418","2,048","3,191","2,969","3,954","4,217","3,626","2,121","979","134","4"
"서울특별시 성북구 길음제1동(1129066000)","34,908","34,908","3,336","4,910","3,313","4,048","7,455","5,364","3,364","2,079","906","128","5"
"서울특별시 성북구 길음제2동(1129068500)","21,375","21,375","2,098","1,971","2,472","3,062","3,853","3,475","2,538","1,282","537","85","2"
"서울특별시 성북구 종암동(1129070500)","38,445","38,445","2,348","3,526","5,520","4,878","6,103","6,327","5,019","2,862","1,610","243","9"
"서울특별시 성북구 월곡제1동(1129071500)","26,184","26,184","1,783","2,527","2,965","3,394","4,382","4,262","3,679","2,141","942","109","0"
"서울특별시 성북구 월곡제2동(1129072500)","19,342","19,342","929","1,460","3,489","2,643","2,703","2,948","2,728","1,589","763","87","3"
"서울특별시 성북구 장위제1동(1129076000)","24,077","24,077","1,653","1,857","3,269","3,309","3,684","4,151","3,532","1,737","797","85","3"
"서울특별시 성북구 장위제2동(1129077000)","13,640","13,640","554","826","1,900","1,806","1,806","2,387","2,255","1,394","645","65","2"
"서울특별시 성북구 장위제3동(1129078000)","15,709","15,709","1,635","1,312","1,976","2,362","2,639","2,476","1,982","924","360","42","1"
"서울특별시 성북구 석관동(1129081000)","34,834","34,834","1,816","2,082","5,014","4,817","4,857","5,848","5,496","3,298","1,462","142","2"
"서울특별시 강북구 (1130500000)","296,653","296,653","13,467","20,415","40,568","36,435","43,068","51,383","47,101","29,447","13,220","1,501","48"
"서울특별시 강북구 삼양동(1130553400)","23,387","23,387","1,142","1,789","2,963","2,810","3,377","4,225","3,790","2,226","942","121","2"
"서울특별시 강북구 미아동(1130553500)","21,331","21,331","666","1,257","3,578","2,814","2,826","3,646","3,462","2,024","956","101","1"
"서울특별시 강북구 송중동(1130554500)","29,514","29,514","1,433","1,930","4,061","3,901","4,370","5,097","4,687","2,764","1,137","132","2"
"서울특별시 강북구 송천동(1130555500)","25,907","25,907","897","1,468","3,368","3,009","3,532","4,809","4,661","2,801","1,238","116","8"
"서울특별시 강북구 삼각산동(1130557500)","30,904","30,904","2,586","3,849","3,210","3,408","6,064","5,210","3,525","2,035","904","107","6"
"서울특별시 강북구 번1동(1130559500)","18,406","18,406","581","991","3,148","2,650","2,714","3,064","2,715","1,713","740","88","2"
"서울특별시 강북구 번2동(1130560300)","15,522","15,522","547","936","2,113","1,635","2,121","2,696","2,677","1,911","798","85","3"
"서울특별시 강북구 번3동(1130560800)","16,607","16,607","805","1,189","1,771","1,584","2,347","2,762","2,668","2,424","959","94","4"
"서울특별시 강북구 수유1동(1130561500)","20,471","20,471","841","1,248","3,048","2,670","2,813","3,469","3,354","2,015","908","100","5"
"서울특별시 강북구 수유2동(1130562500)","21,092","21,092","956","1,305","2,836","2,473","2,908","3,692","3,494","2,150","1,141","134","3"
"서울특별시 강북구 수유3동(1130563500)","23,101","23,101","696","1,087","4,215","3,326","3,099","3,953","3,536","2,143","947","96","3"
"서울특별시 강북구 우이동(1130564500)","20,390","20,390","950","1,345","2,488","2,524","2,780","3,554","3,407","2,104","1,090","145","3"
"서울특별시 강북구 인수동(1130566000)","30,021","30,021","1,367","2,021","3,769","3,631","4,117","5,206","5,125","3,137","1,460","182","6"
"서울특별시 도봉구 (1132000000)","314,791","314,791","16,251","23,756","40,474","38,764","45,358","55,612","51,655","27,894","13,213","1,730","84"
"서울특별시 도봉구 창제1동(1132051100)","24,473","24,473","1,344","2,018","3,126","3,209","3,800","4,257","3,603","1,960","1,025","127","4"
"서울특별시 도봉구 창제2동(1132051200)","28,843","28,843","1,553","2,120","3,997","3,889","4,361","5,069","4,247","2,391","1,099","114","3"
"서울특별시 도봉구 창제3동(1132051300)","13,713","13,713","634","993","1,674","1,548","2,044","2,503","2,284","1,366","608","55","4"
"서울특별시 도봉구 창제4동(1132051400)","26,273","26,273","1,541","2,484","3,389","3,279","4,146","4,799","3,809","1,740","919","158","9"
"서울특별시 도봉구 창제5동(1132051500)","24,370","24,370","1,367","1,804","3,439","3,426","3,375","4,270","3,859","1,816","875","134","5"
"서울특별시 도봉구 도봉제1동(1132052100)","20,809","20,809","732","1,089","2,435","2,200","2,691","3,705","3,975","2,682","1,179","118","3"
"서울특별시 도봉구 도봉제2동(1132052200)","26,473","26,473","1,451","1,523","3,012","3,363","3,583","4,310","4,893","2,869","1,279","185","5"
